x,Team ,PTS/G,PTS,Plays,YDS,YDS/Play,1st DWN,Made ,ATT,PCT,MADE,ATT,PCT,PEN,PEN YDS,TOP,TO DIFF
1,Chiefs,29.2,496,1094,7032,6.4,408,94,193,48.7,50,72,69.4,87,838,30:18:00,-3
2,Eagles,28.1,477,1124,6614,5.9,385,102,222,45.9,40,59,67.8,90,682,31:33:00,8
3,Lions,26.6,453,1092,6460,5.9,376,86,211,40.8,45,68,66.2,90,773,30:55:00,7
4,Bills,28.4,455,1037,6361,6.1,367,97,193,50.3,35,58,60.3,92,709,30:51:00,0
5,49ers,26.5,450,1047,6216,5.9,347,95,211,45,34,63,54,94,730,32:54:00,13
6,Dolphins,23.4,397,1009,6197,6.1,342,71,196,36.2,30,50,60,111,881,29:20:00,-7
7,Vikings,24.9,424,1123,6145,5.5,382,93,226,41.2,40,64,62.5,88,689,30:01:00,2
8,Chargers,23,391,1154,6108,5.3,352,112,257,43.6,33,61,54.1,81,635,31:42:00,5
9,Jaguars,23.8,404,1072,6075,5.7,352,90,215,41.9,31,58,53.4,90,674,30:48:00,5
10,Cowboys,27.5,467,1114,6034,5.4,347,105,231,45.5,40,56,71.4,104,842,30:38:00,10
11,Raiders,23.2,395,1049,5993,5.7,343,83,208,39.9,23,47,48.9,113,932,31:45:00,-8
12,Seahawks,23.9,407,1044,5976,5.7,346,76,201,37.8,26,55,47.3,106,854,29:01:00,2
13,Browns,21.2,361,1116,5934,5.3,350,88,231,38.1,30,56,53.6,102,865,32:49:00,-1
14,Buccaneers,18.4,313,1159,5894,5.1,346,92,246,37.4,26,50,52,99,793,30:39:00,-2
15,Bengals,26.1,418,1053,5768,5.5,357,95,206,46.1,37,57,64.9,81,623,32:15:00,6
16,Ravens,20.6,350,1052,5760,5.5,337,91,218,41.7,27,59,45.8,82,678,31:10:00,4
17,Packers,21.8,370,1051,5745,5.5,334,79,200,39.5,28,54,51.9,89,747,32:55:00,2
18,Giants,21.5,365,1089,5676,5.2,352,78,212,36.8,31,49,63.3,106,827,31:31:00,3
19,Saints,19.4,330,1015,5674,5.6,305,88,219,40.2,25,48,52.1,99,841,30:31:00,-11
20,Commanders,18.9,321,1140,5615,4.9,339,81,230,35.2,24,47,51.1,92,805,33:22:00,-5
21,Broncos,16.9,287,1078,5527,5.1,300,67,230,29.1,20,36,55.6,113,970,30:57:00,-1
22,Cardinals,20,340,1144,5499,4.8,326,82,233,35.2,25,44,56.8,118,916,30:14:00,-5
23,Steelers,18.1,308,1109,5488,4.9,345,106,236,44.9,27,52,51.9,94,711,32:31:00,4
24,Falcons,21.5,365,1011,5417,5.4,330,82,196,41.8,30,54,55.6,68,594,30:02:00,-4
25,Jets,17.4,296,1074,5409,5,294,83,240,34.6,20,46,43.5,91,866,29:44:00,-7
26,Patriots,21.4,364,1006,5348,5.3,288,75,215,34.9,19,45,42.2,104,841,29:11:00,7
27,Colts,17,289,1103,5298,4.8,310,75,228,32.9,22,48,45.8,89,794,31:37:00,-13
28,Bears,19.2,326,993,5234,5.3,278,90,220,40.9,28,50,56,80,754,30:31:00,-2
29,Panthers,20.4,347,976,5206,5.3,281,64,202,31.7,26,46,56.5,104,862,29:33:00,-4
30,Titans,17.5,298,992,5045,5.1,277,80,219,36.5,27,42,64.3,111,957,30:30:00,-3
31,Texans,17,289,1015,4820,4.7,277,67,221,30.3,23,48,47.9,88,648,29:50:00,-1
32,Rams,18.1,307,1001,4769,4.8,293,83,211,39.3,25,45,55.6,76,655,30:48:00,-1
